"ordre_extraction","ordre_BMM","Projet","code echantillon","BMM µg/g_sol_E1","BMM µg/g_sol_E2","Moy E1_E2"
"30","1","ECOLE","CpUt_33Dic","20.41","19.26","19.83"
"56","2","ECOLE","CpPl_05Vol","33.05","28.92","30.99"
"2","3","ECOLE","CpUt_22Lou","38.16","31.16","34.66"
"11","4","ECOLE","CpPl_16Gal","50.00","48.58","49.29"
"49","5","ECOLE","CpPl_40Dic","28.50","39.64","34.07"
"67","6","ECOLE","CpUt_14Lou","19.77","18.83","19.30"
"33","7","ECOLE","CpPl_15Gal","47.46","39.55","43.51"
"48","8","ECOLE","EspV_13Cab","22.23","34.94","28.59"
"22","9","ECOLE","EvEx_04Mou","33.35","47.11","40.23"
"64","10","ECOLE","EspV_18Dau","34.74","24.65","29.70"
"45","11","ECOLE","CpUt_17Rob","10.90","12.43","11.66"
"9","12","ECOLE","CpUt_09Mer","30.36","35.93","33.15"
"3","13","ECOLE","CpUt_05Bou","3.66","2.76","3.21"
"65","14","ECOLE","CpUt_11Ku","72.81","58.41","65.61"
"47","15","ECOLE","CpPl_17Lou","50.28","51.95","51.12"
"5","16","ECOLE","EvEx_11Sib","58.46","55.43","56.95"
"63","17","ECOLE","CpUt_35Aqu","42.88","33.39","38.14"
"24","18","ECOLE","CpUt_26Dau","0.85","1.73","1.29"
"71","19","ECOLE","CpUt_25Dau","0.65","2.22","1.43"
"35","20","ECOLE","CpPl_08Mer","44.28","47.84","46.06"
"40","21","ECOLE","CpPl_51EnsE","22.84","22.83","22.83"
"37","22","ECOLE","EspV_05Mar","19.24","21.86","20.55"
"34","23","ECOLE","CpUt_08VAl","52.35","51.53","51.94"
"66","24","ECOLE","CpPl_24Rob","22.81","27.64","25.23"
"12","25","ECOLE","CpUt_04Bau","20.35","14.74","17.54"
"77","26","ECOLE","CpUt_30Hei","63.19","56.83","60.01"
"58","27","ECOLE","EvEx_07Lou","19.54","17.34","18.44"
"44","28","ECOLE","EvEx_06Lou","31.54","23.79","27.66"
"46","29","ECOLE","EspV_08Rob","31.08","20.13","25.61"
"73","30","ECOLE","CpUt_18Rob","0.00","0.00","0.00"
"55","31","ECOLE","EvEx_02Kur","70.77","59.09","64.93"
"4","32","ECOLE","CpPl_10Mer","54.82","42.66","48.74"
"75","33","ECOLE","CpUt_27Sib","58.98","52.55","55.76"
"18","34","ECOLE","EvEx_05Mou","51.27","41.87","46.57"
"72","35","ECOLE","CpPl_03Bou","43.84","29.26","36.55"
"15","36","ECOLE","CpPl_49San","44.37","36.15","40.26"
"79","37","ECOLE","EvEx_31Hei","64.27","69.84","67.06"
"8","38","ECOLE","EspV_17Dau","33.05","33.90","33.48"
"28","39","ECOLE","CpPl_38Hei","49.29","52.00","50.65"
"21","40","ECOLE","EvEx_03Gal","50.00","45.58","47.79"
"78","41","ECOLE","CpUt_03Bou","28.50","29.43","28.96"
"53","42","ECOLE","CpUt_07Val","41.99","45.74","43.86"
"13","43","ECOLE","CpUt_10Mer","47.46","46.96","47.21"
"14","44","ECOLE","CpPl_23Lou","22.23","27.04","24.63"
"57","45","ECOLE","CpPl_14Kur","33.35","38.31","35.83"
"52","46","ECOLE","CpUt_06Val","34.74","40.82","37.78"
"32","47","ECOLE","CpPl_47Pri","29.54","32.92","31.23"
"41","48","ECOLE","CpPl_26Rob","30.36","32.81","31.58"
"36","49","ECOLE","EvEx_15Aqu","80.35","83.75","82.05"
"42","50","ECOLE","CpPl_39Dic","67.91","66.86","67.39"
"27","51","ECOLE","TE_1_1","60.77","83.23","72.00"
"26","52","ECOLE","CpPl_21Lou","42.12","41.12","41.62"
"68","53","ECOLE","CpPl_11Kur","52.23","59.28","55.76"
"62","54","ECOLE","CpUt_02Bou","31.95","30.45","31.20"
"7","55","ECOLE","CpUt_15Rob","3.37","3.11","3.24"
"29","56","ECOLE","EspV_12Cab","29.41","29.36","29.39"
"1","57","ECOLE","CpUt_37Pri","0.36","0.00","0.18"
"38","58","ECOLE","CpUt_39San","2.56","2.65","2.61"
"25","59","ECOLE","CpPl_04Vol","40.31","39.87","40.09"
"54","60","ECOLE","CpPl_50EnsE","25.26","24.05","24.65"
"31","61","ECOLE","CpPl_37Sib","46.48","51.88","49.18"
"39","62","ECOLE","CpPl_06Val","57.85","61.74","59.80"
"61","63","ECOLE","CpUt_12Lou","51.26","63.10","57.18"
"51","64","ECOLE","EvEx_10Sun","67.33","67.73","67.53"
"50","65","ECOLE","EspV_09Cas","40.04","41.51","40.77"
"43","66","ECOLE","EspV_11Cab","21.60","25.07","23.33"
"60","67","ECOLE","EspV_10Cas","28.71","35.20","31.96"
"20","68","ECOLE","CpPl_45Pri","45.73","55.38","50.55"
"16","69","ECOLE","CpUt_20Can","19.48","19.53","19.50"
"76","70","ECOLE","CpPl_09Mer","40.96","42.43","41.69"
"80","71","ECOLE","CpUt_22Cab","3.72","3.28","3.50"
"74","72","ECOLE","CpUt_42San","15.53","12.61","14.07"
"10","73","ECOLE","CpPl_01Bou","37.81","36.98","37.40"
"6","74","ECOLE","CpUt_32Dic","13.55","15.13","14.34"
"59","75","ECOLE","CpUt_40San","22.37","22.90","22.64"
"70","76","ECOLE","CpPl_48Pri","33.77","34.03","33.90"
"19","77","ECOLE","CpUt_28Sib","65.64","53.42","59.53"
"17","78","ECOLE","CpPl_02Bou","32.95","28.62","30.79"
"69","79","ECOLE","CpUt_01Bou","25.55","23.99","24.77"
"23","80","ECOLE","EsPv_07Lou","29.19","26.29","27.74"
